Gini Index,Vacant Housing,Percent Unemployed,Median Family Income,Income Quartile,HighIncome
0.5023,208273,8.90861381029052,64824,3,1
0.4478,114584,11.32840962090661,65015,3,1
0.4442,89520,10.978377833075527,60559,3,1
0.4666,25326,6.568371550363057,114140,4,1
0.5251,7859,5.110381622715395,130079,4,1
0.446,21158,7.029089547986302,93925,4,1
0.4588,4989,11.743926960491278,48911,1,0
0.4541,8229,8.669656203288492,56876,2,0
0.4277,9776,10.044701675136459,78791,4,1
0.4748,1883,10.448660042155977,53658,2,0
0.4792,1104,9.931361749004322,50575,2,0
0.4816,12008,10.723673885750157,58858,3,1
0.4653,7317,11.775340484512475,66496,3,1
0.4516,14995,5.5058231128255715,79355,4,1
0.4603,28955,11.94538703714555,53628,2,0
0.4456,15421,7.491716915847537,88547,4,1
0.4174,4177,7.733723391012075,57019,2,0
0.4117,4275,6.554257624610179,58173,3,1
0.4099,8574,7.987290801560337,60681,3,1
0.471,7901,4.851121617543506,75715,4,1
0.4286,5738,6.777580799127233,55392,2,0
0.4307,8388,6.683384143430859,76573,4,1
0.4303,5338,8.029721955896454,55646,2,0
0.4277,8383,6.105234203981525,66948,4,1
0.4585,12275,6.508790331116907,61346,3,1
0.4493,3762,7.854242895092978,54578,2,0
0.4575,9144,7.8434734892653815,55023,2,0
0.4655,17901,5.895039861251109,101437,4,1
0.4187,7324,8.117246080436265,53988,2,0
0.403,3929,6.497584541062802,67325,4,1
0.4243,7057,7.325459452954425,61432,3,1
0.4666,687,5.3383962474871565,69621,4,1
0.4337,6453,5.792023085643615,57377,2,0
0.4382,5406,5.154692157467366,80905,4,1
0.3999,4174,5.062811691181112,61195,3,1
0.4233,10137,5.455201009554714,70512,4,1
0.4348,6254,6.1892908611105915,58758,3,1
0.435,6209,5.7772403600698645,53637,2,0
0.4248,5107,6.79009206042419,58202,3,1
0.4724,6610,6.538705871676195,91985,4,1
0.4819,26090,8.450593649221553,64581,3,1
0.4841,1487,4.988231721205679,97362,4,1
0.4549,9646,10.14720668230684,58120,3,1
0.4738,1083,17.699377408834867,34688,1,0
0.445,1541,6.998431235837546,61970,3,1
0.488,2329,11.547409235107509,47801,1,0
0.4725,4864,10.462373201226704,41706,1,0
0.4971,2705,11.996251171508904,39133,1,0
0.434,11117,6.898151032472881,68496,4,1
0.4875,8272,8.563281824871229,52310,2,0
0.4244,7341,8.022825066297944,62369,3,1
0.503,27247,6.679045301864675,72836,4,1
0.4881,9712,9.456364052836527,55878,2,0
0.4613,2215,15.451945575873127,39134,1,0
0.4504,10861,8.061560202256619,54595,2,0
0.4639,3107,9.53374411721896,43957,1,0
0.4828,4313,11.40763358778626,48520,1,0
0.4446,71435,8.000522326000151,53771,2,0
0.4393,3937,8.347429833948976,55871,2,0
0.479,8812,11.338275658620423,44078,1,0
0.4488,13170,7.571380253107472,55773,2,0
0.4772,1892,9.196684730634363,42198,1,0
0.4711,27286,6.616746787642897,69564,4,1
0.4651,1203,8.496826312752452,60211,3,1
0.472,2447,9.457864505468565,39028,1,0
0.4546,2170,7.616112700858464,48834,1,0
0.4617,19953,8.538839283537254,65597,3,1
0.5109,2784,10.807252101691482,41081,1,0
0.4587,1739,9.600560616678345,44012,1,0
0.4715,19085,6.398613116639703,65027,3,1
0.4562,3856,9.926490172055612,57593,2,0
0.4263,4707,6.718125804049022,67534,4,1
0.4554,3240,5.302651325662831,59474,3,1
0.4153,4032,5.214782360224783,53836,2,0
0.3811,2603,5.181368507831822,68445,4,1
0.4139,3650,8.89423076923077,57179,2,0
0.4404,4929,7.305355979972457,85430,4,1
0.4401,13301,6.647680213888203,94253,4,1
0.4472,3476,8.586540625703353,49431,1,0
0.4802,4106,15.419653524492233,42715,1,0
0.4448,6085,12.450827349359974,48551,1,0
0.4863,2180,10.786443623723658,46048,1,0
0.4786,3875,15.653382462264457,46508,1,0
0.4507,7340,7.791125507091418,69509,4,1
0.4969,3660,8.74203144921377,45710,1,0
0.4266,1626,9.9784690771401,41730,1,0
0.4669,1283,11.926332986781524,38722,1,0
0.4344,2515,9.38706336503154,46592,1,0
0.4015,346,6.970509383378016,54643,2,0
0.4125,381,2.0622895622895623,69320,4,1
0.4385,388,2.4390243902439024,56750,2,0
0.4568,582,1.545147271849348,58043,3,1
0.4244,4488,3.701150085705804,71495,4,1
0.4346,288,3.6816459122902003,67574,4,1
0.4458,401,2.1433850702143387,65833,3,1
0.522,470,6.165561287153034,59621,3,1
0.4624,354,24.590802805923616,47674,1,0
0.4096,554,2.2601191699198684,86830,4,1
0.4512,172,2.9169783096484667,63750,3,1
0.4633,349,1.8900343642611683,73155,4,1
0.4781,752,2.863640192032342,65324,3,1
0.4127,863,2.863317125877904,62053,3,1
0.4231,505,3.9399797477676515,59816,3,1
0.5274,186,0.688298918387414,63125,3,1
0.4469,200,1.3395457192778102,69622,4,1
0.4172,1438,8.38485316846986,51501,2,0
0.4683,649,5.408038976857491,56197,2,0
0.4201,827,1.8411967779056386,67668,4,1
0.4874,492,4.015544041450777,62379,3,1
0.4996,388,21.22392211404729,30158,1,0
0.5178,653,28.127812781278127,26364,1,0
0.4356,4916,5.253407585386118,70557,4,1
0.4422,467,7.977059436913452,58306,3,1
0.4438,1106,8.523757707653248,35153,1,0
0.5078,53145,9.401424875959458,59142,3,1
0.4318,2118,9.392981603047248,49784,1,0
0.447,3900,7.7798936761088635,52831,2,0
0.4249,840,9.095230549833625,53276,2,0
0.4579,1824,8.502024291497975,47211,1,0
0.4847,25716,6.218227814393183,62723,3,1
0.4878,1379,7.095046854082998,39816,1,0
0.4428,996,12.54416961130742,41324,1,0
0.4855,1334,7.156168468132687,44990,1,0
0.4098,9681,8.24096503462282,59255,3,1
0.4808,1382,11.278195488721805,37338,1,0
0.4754,2808,9.951363112760783,39179,1,0
0.5403,2269,6.98502332433096,44118,1,0
0.4226,781,4.822834645669291,44688,1,0
0.4607,1889,10.84276548194074,47827,1,0
0.433,2080,9.350279680932049,61645,3,1
0.4543,695,8.787632221318145,42648,1,0
0.4712,6426,3.682835211497632,71627,4,1
0.4504,2362,8.299731182795698,59947,3,1
0.4912,860,3.8919186911254338,51538,2,0
0.4801,232,6.756756756756757,51188,2,0
0.3911,661,2.430555555555556,69659,4,1
0.4244,587,4.312029025955902,49652,1,0
0.4589,7341,5.2748926236310085,72861,4,1
0.4526,2976,7.085127275473978,59292,3,1
0.4038,1589,3.3652007648183555,54282,2,0
0.3939,1542,6.639553116424931,58494,3,1
0.4492,3645,4.728217426059152,61480,3,1
0.4927,436,4.3478260869565215,50833,2,0
0.411,789,6.585845347313238,49824,1,0
0.3989,745,4.789224245447742,58195,3,1
0.4226,1050,5.846342209978574,50079,2,0
0.4429,863,8.208955223880597,53942,2,0
0.4547,7461,5.668753557199772,54558,2,0
0.4334,1353,3.5575319622012227,51023,2,0
0.4211,2363,7.535073864164267,54299,2,0
0.497,2270,9.439511955988888,36823,1,0
0.4164,1331,10.532815808045166,49181,1,0
0.4304,1787,5.876341338783853,67759,4,1
0.4195,657,9.383378016085791,46525,1,0
0.4005,1486,6.789919665456146,59414,3,1
0.4064,1849,7.452894957662674,80246,4,1
0.4194,4702,8.424533645150092,66272,3,1
0.4563,18562,6.065793825263117,100467,4,1
0.4671,1440,11.78516228748068,36741,1,0
0.4349,450,5.700676090964967,74193,4,1
0.4253,5503,9.578201088513321,65140,3,1
0.5048,225736,9.65736627170349,70076,4,1
0.466,5461,10.107981743292886,61167,3,1
0.4343,1615,7.243154692253687,60495,3,1
0.4209,849,5.236811705814401,56203,2,0
0.4162,855,5.2836484983314795,79722,4,1
0.4443,2345,10.735506201326796,51053,2,0
0.4807,2554,9.319899244332493,65141,3,1
0.4004,7133,6.535300118429229,92187,4,1
0.4005,545,3.95503746877602,61420,3,1
0.4669,1385,6.62704642296479,60785,3,1
0.4138,1098,8.518005540166206,56723,2,0
0.4782,15700,8.299864026848802,65336,3,1
0.3889,1262,5.374368396876435,58250,3,1
0.5,9204,5.386495904256289,72889,4,1
0.4025,907,5.696757230499562,66042,3,1
0.416,658,7.549412988556991,60842,3,1
0.4259,3985,4.889783065080476,71158,4,1
0.3532,1813,5.320387762200747,93135,4,1
0.4044,825,5.606385049639868,54588,2,0
0.428,2291,9.06943027439188,55420,2,0
0.4312,952,10.11119347664937,56063,2,0
0.4301,1522,6.717930793428871,58112,3,1
